first_name,last_name,full_name,email,email_type,company,country,lead_source,lead_score,lead_priority,lead_status,assigned_to,notes
Cacilie,Hefforde,Cacilie Hefforde,cacilie.hefforde@example.com,business_email,Kwilith,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jeanine,Wyre,Jeanine Wyre,jeanine.wyre@example.com,business_email,Mymm,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Odella,Renwick,Odella Renwick,odella.renwick@example.com,business_email,Livez,Sweden,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kattie,Daniel,Kattie Daniel,kattie.daniel@example.com,business_email,Tazzy,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Peder,Gossipin,Peder Gossipin,peder.gossipin@example.com,business_email,Bluejam,Czech Republic,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kendall,Murdy,Kendall Murdy,kendall.murdy@example.com,business_email,Reallinks,Nepal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Aguie,Summerlie,Aguie Summerlie,aguie.summerlie@example.com,business_email,Jabbersphere,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Laverna,Waleworke,Laverna Waleworke,laverna.waleworke@example.com,business_email,Nan,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Leontyne,Stirling,Leontyne Stirling,leontyne.stirling@example.com,business_email,Skiptube,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Sammy,Dobbin,Sammy Dobbin,sammy.dobbin@example.com,business_email,Livepath,Brazil,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Lincoln,Quan,Lincoln Quan,lincoln.quan@example.com,business_email,Skiptube,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Alvina,Bruster,Alvina Bruster,alvina.bruster@example.com,business_email,Realcube,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Quinton,Strank,Quinton Strank,quinton.strank@example.com,business_email,Agimba,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Neal,Bielfelt,Neal Bielfelt,neal.bielfelt@example.com,business_email,Rhynyx,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Dougie,Coppins,Dougie Coppins,dougie.coppins@example.com,business_email,Realblab,Uganda,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Derrek,Rushby,Derrek Rushby,derrek.rushby@example.com,business_email,Devify,Canada,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Lilas,Gajewski,Lilas Gajewski,lilas.gajewski@example.com,business_email,Talane,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Natal,Newgrosh,Natal Newgrosh,natal.newgrosh@example.com,business_email,Pixonyx,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Merrill,Chapman,Merrill Chapman,merrill.chapman@example.com,business_email,Chatterpoint,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nicholle,Pannett,Nicholle Pannett,nicholle.pannett@example.com,business_email,Kwimbee,Argentina,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tiffy,Walaron,Tiffy Walaron,tiffy.walaron@example.com,business_email,Nan,Paraguay,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marietta,Crossdale,Marietta Crossdale,marietta.crossdale@example.com,business_email,Babblestorm,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kristine,Mattea,Kristine Mattea,kristine.mattea@example.com,business_email,Jazzy,Colombia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Porter,Jaques,Porter Jaques,porter.jaques@example.com,business_email,Nlounge,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Maurise,Poundsford,Maurise Poundsford,maurise.poundsford@example.com,business_email,Skimia,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Roddie,Sanbrook,Roddie Sanbrook,roddie.sanbrook@example.com,business_email,Linkbuzz,Malaysia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Aldin,Liddington,Aldin Liddington,aldin.liddington@example.com,business_email,Shufflester,Guatemala,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Wanda,Westmoreland,Wanda Westmoreland,wanda.westmoreland@example.com,business_email,Nan,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Christyna,Mountney,Christyna Mountney,christyna.mountney@example.com,business_email,Nan,Russia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jennine,Tasseler,Jennine Tasseler,jennine.tasseler@example.com,business_email,Dabz,Cuba,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Elsie,Cristol,Elsie Cristol,elsie.cristol@example.com,business_email,Vitz,Canada,Website Linkedin Cold Email Referral Conference Purchased List,100,High,New,,
Law,Benfell,Law Benfell,law.benfell@example.com,business_email,Jaloo,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jennilee,Goodright,Jennilee Goodright,jennilee.goodright@example.com,business_email,Twimbo,Cameroon,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Riannon,Heineking,Riannon Heineking,riannon.heineking@example.com,business_email,Yacero,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Sidonnie,Fabri,Sidonnie Fabri,sidonnie.fabri@example.com,business_email,Mita,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Morlee,Bonellie,Morlee Bonellie,morlee.bonellie@example.com,business_email,Skinte,Nigeria,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Arron,Caitlin,Arron Caitlin,arron.caitlin@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Mollie,Janik,Mollie Janik,mollie.janik@example.com,business_email,Photospace,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Violetta,Maccahee,Violetta MacCahee,violetta.maccahee@example.com,business_email,Nan,Nigeria,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Luelle,Bonde,Luelle Bonde,luelle.bonde@example.com,business_email,Teklist,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marcus,Marmion,Marcus Marmion,marcus.marmion@example.com,business_email,Edgewire,Greece,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Tedman,Chaimson,Tedman Chaimson,tedman.chaimson@example.com,business_email,Shufflester,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ingunna,Popov,Ingunna Popov,ingunna.popov@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Shellie,Gallyhaock,Shellie Gallyhaock,shellie.gallyhaock@example.com,business_email,Thoughtblab,Palestinian Territory,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Roselle,Doerren,Roselle Doerren,roselle.doerren@example.com,business_email,Reallinks,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Edsel,Colaco,Edsel Colaco,edsel.colaco@example.com,business_email,Livetube,Greece,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Gerianne,Fitzgeorge,Gerianne FitzGeorge,gerianne.fitzgeorge@example.com,business_email,Jabbercube,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Faythe,Palfery,Faythe Palfery,faythe.palfery@example.com,business_email,Divape,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Leonhard,Butler-Bowdon,Leonhard Butler-Bowdon,leonhard.butler-bowdon@example.com,business_email,Twitterwire,Malta,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kermie,Benardeau,Kermie Benardeau,kermie.benardeau@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Osmund,Coogan,Osmund Coogan,osmund.coogan@example.com,business_email,Browseblab,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ki,Ivetts,Ki Ivetts,ki.ivetts@example.com,business_email,Zoomcast,Nan,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Kaja,De Cruce,Kaja De Cruce,kaja.de cruce@example.com,business_email,Mita,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Inessa,Mcbrier,Inessa McBrier,inessa.mcbrier@example.com,business_email,Skaboo,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Rycca,Meneo,Rycca Meneo,rycca.meneo@example.com,business_email,Kwilith,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Rinaldo,Illing,Rinaldo Illing,rinaldo.illing@example.com,business_email,Eadel,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Brit,Bennough,Brit Bennough,brit.bennough@example.com,business_email,Tagopia,Poland,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Wesley,Robak,Wesley Robak,wesley.robak@example.com,business_email,Blogtag,Democratic Republic Of The Congo,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Serene,Surmon,Serene Surmon,serene.surmon@example.com,business_email,Quatz,Philippines,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Lyndel,Gawler,Lyndel Gawler,lyndel.gawler@example.com,business_email,Babblestorm,Hungary,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Holli,Rudeforth,Holli Rudeforth,holli.rudeforth@example.com,business_email,Trudoo,Moldova,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Ginni,Hains,Ginni Hains,ginni.hains@example.com,business_email,Yata,France,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Nathaniel,Broadbear,Nathaniel Broadbear,nathaniel.broadbear@example.com,business_email,Youspan,Thailand,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Skipper,Cotte,Skipper Cotte,skipper.cotte@example.com,business_email,Nan,Sweden,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jewel,Grimmer,Jewel Grimmer,jewel.grimmer@example.com,business_email,Nan,China,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Marni,Lembcke,Marni Lembcke,marni.lembcke@example.com,business_email,Tagchat,Indonesia,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Hilly,Shadfourth,Hilly Shadfourth,hilly.shadfourth@example.com,business_email,Gabcube,Peru,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Karna,Cutmare,Karna Cutmare,karna.cutmare@example.com,business_email,Zava,Peru,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
Jarrett,Yakunin,Jarrett Yakunin,jarrett.yakunin@example.com,business_email,Nan,Portugal,Website Linkedin Cold Email Referral Conference Purchased List,80,High,New,,
